1.000000000000000000e+00 2.002506316189888480e+01
2.000000000000000000e+00 2.026605649181659885e+01
3.000000000000000000e+00 2.087923240391682356e+01
5.000000000000000000e+00 2.343970597593049732e+01
7.000000000000000000e+00 2.749369321464117988e+01
1.000000000000000000e+01 3.490796673988713650e+01
1.500000000000000000e+01 4.726743561810606309e+01
2.000000000000000000e+01 5.792923480762734556e+01
2.500000000000000000e+01 6.671580159616071626e+01
3.000000000000000000e+01 7.377859201099781217e+01
4.000000000000000000e+01 8.347565968048829177e+01
5.000000000000000000e+01 8.851369172237949101e+01
6.000000000000000000e+01 9.027823585053479860e+01
8.000000000000000000e+01 8.837918532521119630e+01
1.000000000000000000e+02 8.410959260053439834e+01
1.200000000000000000e+02 8.060921487478178449e+01
1.500000000000000000e+02 7.905925043920522910e+01
2.000000000000000000e+02 8.563797029581695597e+01
2.500000000000000000e+02 9.876691751494175264e+01
3.000000000000000000e+02 1.143477620660552248e+02
4.000000000000000000e+02 1.465055700665905078e+02
5.000000000000000000e+02 1.773319803571800151e+02
