# Tx_x Tx_z Rx_x Rx_z travel_time
5.000000000000000000e+00 1.000000000000000000e+01 1.450000000000000000e+02 2.600000000000000000e+02 1.145993188004135049e-01
5.000000000000000000e+00 1.000000000000000000e+01 1.450000000000000000e+02 2.700000000000000000e+02 1.182479395741418415e-01
5.000000000000000000e+00 1.000000000000000000e+01 1.450000000000000000e+02 2.800000000000000000e+02 1.221713593352982408e-01
5.000000000000000000e+00 1.000000000000000000e+01 1.450000000000000000e+02 2.900000000000000000e+02 1.259407770700465279e-01
5.000000000000000000e+00 2.000000000000000000e+01 1.450000000000000000e+02 1.000000000000000000e+01 5.616393765167350394e-02
5.000000000000000000e+00 2.000000000000000000e+01 1.450000000000000000e+02 2.000000000000000000e+01 5.587493340376125522e-02
5.000000000000000000e+00 2.000000000000000000e+01 1.450000000000000000e+02 3.000000000000000000e+01 5.612488972766541823e-02
5.000000000000000000e+00 2.000000000000000000e+01 1.450000000000000000e+02 4.000000000000000000e+01 5.655013852791426765e-02
5.000000000000000000e+00 2.000000000000000000e+01 1.450000000000000000e+02 5.000000000000000000e+01 5.704088702497175228e-02
5.000000000000000000e+00 2.000000000000000000e+01 1.450000000000000000e+02 6.000000000000000000e+01 5.785702640999955404e-02
5.000000000000000000e+00 2.000000000000000000e+01 1.450000000000000000e+02 7.000000000000000000e+01 5.906469251685091820e-02
5.000000000000000000e+00 2.000000000000000000e+01 1.450000000000000000e+02 8.000000000000000000e+01 6.023121020928157154e-02
5.000000000000000000e+00 2.000000000000000000e+01 1.450000000000000000e+02 9.000000000000000000e+01 6.182374954808098066e-02
5.000000000000000000e+00 2.000000000000000000e+01 1.450000000000000000e+02 1.000000000000000000e+02 6.353778102001023109e-02
5.000000000000000000e+00 2.000000000000000000e+01 1.450000000000000000e+02 1.100000000000000000e+02 6.539942925001233920e-02
5.000000000000000000e+00 2.000000000000000000e+01 1.450000000000000000e+02 1.200000000000000000e+02 6.760126521838347169e-02
5.000000000000000000e+00 2.000000000000000000e+01 1.450000000000000000e+02 1.300000000000000000e+02 6.988010713229710069e-02
5.000000000000000000e+00 2.000000000000000000e+01 1.450000000000000000e+02 1.400000000000000000e+02 7.218387095999209691e-02
5.000000000000000000e+00 2.000000000000000000e+01 1.450000000000000000e+02 1.500000000000000000e+02 7.482384602353765735e-02
5.000000000000000000e+00 2.000000000000000000e+01 1.450000000000000000e+02 1.600000000000000000e+02 7.749179507666259514e-02
5.000000000000000000e+00 2.000000000000000000e+01 1.450000000000000000e+02 1.700000000000000000e+02 8.044285032031657512e-02
5.000000000000000000e+00 2.000000000000000000e+01 1.450000000000000000e+02 1.800000000000000000e+02 8.327181057144318610e-02
5.000000000000000000e+00 2.000000000000000000e+01 1.450000000000000000e+02 1.900000000000000000e+02 8.647025583395928638e-02
5.000000000000000000e+00 2.000000000000000000e+01 1.450000000000000000e+02 2.000000000000000000e+02 8.964200697919819105e-02
5.000000000000000000e+00 2.000000000000000000e+01 1.450000000000000000e+02 2.100000000000000000e+02 9.300275546813371874e-02
5.000000000000000000e+00 2.000000000000000000e+01 1.450000000000000000e+02 2.200000000000000000e+02 9.642049358043722207e-02
5.000000000000000000e+00 2.000000000000000000e+01 1.450000000000000000e+02 2.300000000000000000e+02 9.996148892361692018e-02
5.000000000000000000e+00 2.000000000000000000e+01 1.450000000000000000e+02 2.400000000000000000e+02 1.036022738339309746e-01
5.000000000000000000e+00 2.000000000000000000e+01 1.450000000000000000e+02 2.500000000000000000e+02 1.074096260632801669e-01
5.000000000000000000e+00 2.000000000000000000e+01 1.450000000000000000e+02 2.600000000000000000e+02 1.112148889323626988e-01
5.000000000000000000e+00 2.000000000000000000e+01 1.450000000000000000e+02 2.700000000000000000e+02 1.149156347293333186e-01
5.000000000000000000e+00 2.000000000000000000e+01 1.450000000000000000e+02 2.800000000000000000e+02 1.188541674823979377e-01
5.000000000000000000e+00 2.000000000000000000e+01 1.450000000000000000e+02 2.900000000000000000e+02 1.226781789619226792e-01
5.000000000000000000e+00 3.000000000000000000e+01 1.450000000000000000e+02 1.000000000000000000e+01 5.648914084350633441e-02
5.000000000000000000e+00 3.000000000000000000e+01 1.450000000000000000e+02 2.000000000000000000e+01 5.603571391517776085e-02
5.000000000000000000e+00 3.000000000000000000e+01 1.450000000000000000e+02 3.000000000000000000e+01 5.582108868286846798e-02
5.000000000000000000e+00 3.000000000000000000e+01 1.450000000000000000e+02 4.000000000000000000e+01 5.598431708040613880e-02
5.000000000000000000e+00 3.000000000000000000e+01 1.450000000000000000e+02 5.000000000000000000e+01 5.615887969279239472e-02
5.000000000000000000e+00 3.000000000000000000e+01 1.450000000000000000e+02 6.000000000000000000e+01 5.674598885110040958e-02
5.000000000000000000e+00 3.000000000000000000e+01 1.450000000000000000e+02 7.000000000000000000e+01 5.751593346728795658e-02
5.000000000000000000e+00 3.000000000000000000e+01 1.450000000000000000e+02 8.000000000000000000e+01 5.858074470178654264e-02
5.000000000000000000e+00 3.000000000000000000e+01 1.450000000000000000e+02 9.000000000000000000e+01 5.985898516211927284e-02
5.000000000000000000e+00 3.000000000000000000e+01 1.450000000000000000e+02 1.000000000000000000e+02 6.138466219712682831e-02
5.000000000000000000e+00 3.000000000000000000e+01 1.450000000000000000e+02 1.100000000000000000e+02 6.320731807655684265e-02
5.000000000000000000e+00 3.000000000000000000e+01 1.450000000000000000e+02 1.200000000000000000e+02 6.508886282746544072e-02
5.000000000000000000e+00 3.000000000000000000e+01 1.450000000000000000e+02 1.300000000000000000e+02 6.728719983435348106e-02
5.000000000000000000e+00 3.000000000000000000e+01 1.450000000000000000e+02 1.400000000000000000e+02 6.966074459109400374e-02
5.000000000000000000e+00 3.000000000000000000e+01 1.450000000000000000e+02 1.500000000000000000e+02 7.206977423330397647e-02
5.000000000000000000e+00 3.000000000000000000e+01 1.450000000000000000e+02 1.600000000000000000e+02 7.471049921818861961e-02
5.000000000000000000e+00 3.000000000000000000e+01 1.450000000000000000e+02 1.700000000000000000e+02 7.740088568971184579e-02
5.000000000000000000e+00 3.000000000000000000e+01 1.450000000000000000e+02 1.800000000000000000e+02 8.036508030792993695e-02
5.000000000000000000e+00 3.000000000000000000e+01 1.450000000000000000e+02 1.900000000000000000e+02 8.342993853200321441e-02
5.000000000000000000e+00 3.000000000000000000e+01 1.450000000000000000e+02 2.000000000000000000e+02 8.652235625325536972e-02
5.000000000000000000e+00 3.000000000000000000e+01 1.450000000000000000e+02 2.100000000000000000e+02 8.995156598421674699e-02
