1 99.95
2 99.51
3 98.44
5 94.08
7 87.50
10  76.48
15  61.09
20  50.37
25  42.75
30  37.14
40  29.88
50  25.92
60  23.75
80  21.80
100 21.05
120 20.69
150 20.42
200 20.23
250 20.15
300 20.10
